Started: 2026-09-11T23:17:38.2824996+08:00
PASS native content validation
PASS PresentationVerification: 262 assertions
PASS InterfaceArchiveVerification: 51 assertions
PASS PeacefulVerification: 81 assertions
PASS IntelligenceVerification: 105 assertions
PASS BuildingCatalogVerification: 54 assertions
PASS PauseMenuVerification: 18 assertions
PASS CombatVerification: 39 assertions
PASS HeroVerification: 42 assertions
PASS SoldierVerification: 74 assertions
PASS NightPlanningVerification: 73 assertions
PASS CourtVerification: 157 assertions
PASS InvitationExpeditionVerification: 155 assertions
PASS QuestVerification: 199 assertions
PASS TechnologyVerification: 125 assertions
PASS WorkforceVerification: 131 assertions
PASS InventoryVerification: 60 assertions
PASS EconomyVerification: 73 assertions
PASS TransactionVerification: 138 assertions
PASS PersistenceContractVerification: 105 assertions
PASS ArchiveApplicationServiceVerification: 51 assertions
PASS CoreRulesVerification: 128 assertions
PASS UiConfigurationVerification: 6946 assertions
PASS EcsVerification: 210 assertions
PASS BuildingFeatureVerification: 986 assertions
PASS BuildingModuleVerification: 82 assertions
PASS ContentInspectorVerification: 22 assertions
PASS ContentCompilationVerification: 379 assertions
PASS PortraitVerification: 52 assertions
PASS PortraitImportVerification: 46 assertions
PASS ArchitectureVerification: 168 assertions
PASS GameUiRefreshVerification: 16 assertions
PASS GameUiInputPolicyVerification: 27 assertions
PASS GamePanelNavigationVerification: 52 assertions
PASS GameUiStableRowsVerification: 12 assertions
PASS ApplicationCleanupRecoveryVerification: 26 assertions
Completed: 2026-09-11T23:18:03.6177106+08:00
PASS — suites=35, failures=0, assertions=11145
